Item,Qtde,Vlr Unitário,VlrTotal
Bacia de Agata 36,2,"R$ 57,90","R$ 115,80"
Conjunto Ração Feminino,1,"R$ 39,90","R$ 39,90"
Gamela Oval Grande,1,"R$ 59,90","R$ 59,90"
Punhal tamanho 2,31,"R$ 4,90","R$ 151,90"
Esfera de Ferro,10,"R$ 4,00","R$ 40,00"
Cabaça 4,10,"R$ 39,90","R$ 399,00"
Ossum,20,"R$ 1,40","R$ 28,00"
Yerossum pc 20g,2,"R$ 10,00","R$ 20,00"
Efum,6,"R$ 7,00","R$ 42,00"
Pemba Amarela,6,"R$ 1,00","R$ 6,00"
Pemba Azul Claro,2,"R$ 1,00","R$ 2,00"
Pemba Azul Escuro,2,"R$ 1,00","R$ 2,00"
Pemba Branca,8,"R$ 1,00","R$ 8,00"
Pemba Lilás,2,"R$ 1,00","R$ 2,00"
Pemba Marrom,2,"R$ 1,00","R$ 2,00"
Pemba Preta,4,"R$ 1,00","R$ 4,00"
Pemba Rosa,2,"R$ 1,00","R$ 2,00"
Pemba Vermelha,6,"R$ 1,00","R$ 6,00"
Pemba Verde,4,"R$ 1,00","R$ 4,00"
Bacia de Agata 40,1,"R$ 77,90","R$ 77,90"
Garfo de Exu sem pé 10cm,44,"R$ 3,90","R$ 171,60"
Banha de Ori,"0,175","R$ 170,00","R$ 29,75"
Cabaça 0, 3, "R$ 4,00", "R$ 12,00"
